id,template,pair,calibration,competent,gap,a_rank,b_rank,recovery_final,disruption_final,recovery_all,disruption_all,direction_difference,recovery_interaction,disruption_interaction,scope_difference,control_recovery,restored_a_rank,disrupted_b_rank,head9_attention
one_shot__France__Italy,one_shot,France/Italy,True,True,12.461913108825684,1,1,1.0250483211365686,1.0476605544711237,1.026686307607033,1.051771285233947,0.022612233334555087,0.0786044483837205,0.01972096222445341,0.0016379864704643143,0.001920218487987882,1,1,0.9232057332992554
one_shot__Japan__Spain,one_shot,Japan/Spain,False,True,20.020877838134766,1,1,0.9634434840796723,0.9193000642296736,0.9686716004049271,0.9268591975425433,-0.0441434198499987,-0.11301412081085249,0.26735525411495764,0.0052281163252547724,0.00010396912453614823,1,1,0.9376080334186554
one_shot__China__Egypt,one_shot,China/Egypt,False,True,17.691484451293945,1,1,0.8941235411867026,0.9770046853877333,0.9017448565473979,0.9864512524644402,0.08288114420103077,-0.026253329628924016,0.12033190256454862,0.007621315360695324,-0.0002267459283751676,1,1,0.9399472773075104
one_shot__Russia__Australia,one_shot,Russia/Australia,False,False,19.769925117492676,1,3,0.9166620558565834,0.905784772980997,0.9481944011435646,0.9180603010988425,-0.010877282875586425,0.02525167425468522,0.06654747220115664,0.03153234528698112,-0.002360992035366256,1,2,0.9673129618167877
one_shot__Canada__Greece,one_shot,Canada/Greece,False,False,19.979673385620117,3,1,0.9082722623347952,0.7823006609099691,0.9223033892840958,0.8002057354471837,-0.1259716014248261,0.09143843263402762,-0.06402839189266207,0.014031126949300643,0.004441992917237504,2,1,0.962607741355896
one_shot__Portugal__Turkey,one_shot,Portugal/Turkey,False,True,18.71555805206299,1,1,0.8685670623503001,0.893820665146982,0.880156955385526,0.9032521031547768,0.025253602796681873,0.01274537654999297,0.037939207686645604,0.01158989303522584,0.011451631792646183,1,1,0.9352075755596161
bare__France__Italy,bare,France/Italy,True,False,5.82240104675293,93,8,0.7893964682739225,0.8678369201487904,0.8036557181301933,0.8888158185686698,0.07844045187486792,0.046884064973801154,-0.024383192770788376,0.014259249856270806,-0.0003501915570748358,67,20,0.5124665051698685
bare__Japan__Spain,bare,Japan/Spain,False,False,10.871522903442383,26,12,0.7313434537894165,0.7317496954722518,0.7507733153865331,0.747616718384774,0.0004062416828353177,0.024385378527596258,0.028639336861989606,0.019429861597116682,0.01054473930617675,18,38,0.5788803547620773
bare__China__Egypt,bare,China/Egypt,False,False,9.503238677978516,32,28,0.6697698855619563,0.7414459980804563,0.7031391183505893,0.7771503345553599,0.07167611251850003,0.028355117197739088,0.0034552389454631793,0.03336923278863302,0.004414241446382765,26,40,0.515310138463974
bare__Russia__Australia,bare,Russia/Australia,False,False,10.962071418762207,28,151,0.6981168491369617,0.4872580650072447,0.7336210635200201,0.5247437810826246,-0.21085878412971698,-0.039349857954607215,0.04576689070008305,0.0355042143830584,0.0015981901011478034,33,444,0.46733367443084717
bare__Canada__Greece,bare,Canada/Greece,False,False,12.528768539428711,220,11,0.45751804433247883,0.646718604018492,0.48721204844258736,0.670584042493754,0.18920055968601318,0.017682654194151215,-0.03556858353493386,0.02969400411010853,0.006016832699441679,1261,21,0.5318267345428467
bare__Portugal__Turkey,bare,Portugal/Turkey,False,False,11.900907039642334,40,62,0.6442238125466008,0.6392789874161046,0.6572581044218628,0.6607030504153556,-0.004944825130496211,0.052047136288224216,-0.02148724912413902,0.01303429187526206,0.00559667995979327,315,42,0.630579948425293
possessive__France__Italy,possessive,France/Italy,True,True,11.634977340698242,1,1,1.0435811568997713,1.032411383524705,1.0586576829578764,1.062353946563643,-0.011169773375066194,0.032774493576230634,0.03475143518633117,0.015076526058105166,-0.00018603584204947735,1,1,0.9139037430286407
possessive__Japan__Spain,possessive,Japan/Spain,False,True,19.57054328918457,1,1,0.9386604157007957,0.9085803550883618,0.9764531336907069,0.9525855746656555,-0.030080060612433956,-0.15655159965775878,0.22355542331292289,0.03779271798991113,0.00021770979432231448,1,1,0.9068767130374908
possessive__China__Egypt,possessive,China/Egypt,False,True,18.768383979797363,1,1,0.880484918834413,0.9312161735952558,0.9117439936845776,0.9766272764075059,0.050731254760842726,-0.02495960762755156,0.062201230208601355,0.03125907485016455,0.00024081884096964324,1,1,0.8810292482376099
possessive__Russia__Australia,possessive,Russia/Australia,False,False,19.759492874145508,1,3,0.8215134369692456,0.8354535595504294,0.9281010051965967,0.9183661826902704,0.013940122581183823,-0.013971011610896755,-0.005457946757930876,0.10658756822735105,-0.0016463209315487838,1,2,0.9256221652030945
possessive__Canada__Greece,possessive,Canada/Greece,False,False,20.70382308959961,2,1,0.8525783052347697,0.7454388698936486,0.9033703720559245,0.8143146982624959,-0.10713943534112114,0.0494943879950982,-0.03806903806125339,0.05079206682115478,0.00871377605007791,2,1,0.9496251344680786
possessive__Portugal__Turkey,possessive,Portugal/Turkey,False,True,19.190196990966797,1,1,0.8473064816388519,0.889377399691289,0.8837304533559152,0.9287098245833744,0.04207091805243712,0.028273892054518468,0.029562656107279595,0.03642397171706324,0.003567636300146073,1,1,0.8942167460918427
question__France__Italy,question,France/Italy,True,True,10.55239486694336,1,1,0.8905104099525458,0.8057450220461152,0.8932793239360043,0.8110513088672126,-0.08476538790643062,0.017714614783133964,0.06703739760043126,0.0027689139834584653,0.011153800317421645,1,1,0.6787913143634796
question__Japan__Spain,question,Japan/Spain,False,True,15.772539138793945,1,1,0.8571270327920455,0.811628975084266,0.8630514987085447,0.8196328056136919,-0.04549805770777948,0.061718552829949314,0.12879895198572378,0.0059244659164992,0.0017072879421965257,1,1,0.704894632101059
question__China__Egypt,question,China/Egypt,False,True,14.800321578979492,1,1,0.7639979272210238,0.8284756066364496,0.7694129398678881,0.8367658204365646,0.06447767941542581,-0.00904772404770271,0.09024333760200709,0.005415012646864281,0.0051206472747651706,1,1,0.7097369432449341
question__Russia__Australia,question,Russia/Australia,False,False,17.809456825256348,1,3,0.7793090164490544,0.7619103819745452,0.8036506759540207,0.7759551505579594,-0.017398634474509178,-0.041954435467827844,0.06302287351317193,0.024341659504966362,0.004917543210769683,1,2,0.8683789968490601
question__Canada__Greece,question,Canada/Greece,False,True,18.247380256652832,1,1,0.792647448110709,0.6841744424058726,0.8081209317664348,0.7016866257111447,-0.10847300570483642,0.08360121492032535,-0.03586894685912567,0.015473483655725873,-0.0035761214098044302,1,1,0.8350695669651031
question__Portugal__Turkey,question,Portugal/Turkey,False,True,17.150673866271973,1,1,0.6734882562263728,0.7161002536451587,0.6816449373699697,0.7252452695581048,0.04261199741878596,-0.004904084429390165,0.06216344334632562,0.008156681143596911,0.02248405067861595,1,1,0.6958364546298981
distractor__France__Italy,distractor,France/Italy,True,True,12.78963565826416,1,1,0.981003742849569,1.0166565940180772,0.9821739099635707,1.0179347329654487,0.03565285116850814,-0.014301943082886681,-0.07116999188347073,0.0011701671140016412,-0.001979607888754214,1,1,0.7882096469402313
distractor__Japan__Spain,distractor,Japan/Spain,False,True,20.880207061767578,1,1,0.9958572670632475,0.9763359118214432,0.9979827339159946,0.9785373795518543,-0.019521355241804317,-0.13759607214310243,0.32152746783162367,0.00212546685274706,-0.002565821296968375,1,1,0.9056917130947113
